@RELATION reputation

@ATTRIBUTE perc_neutral REAL
@ATTRIBUTE polarity_maxnegative REAL
@ATTRIBUTE has_posIntensifier REAL
@ATTRIBUTE has_negation REAL
@ATTRIBUTE polarity_maxpositive REAL
@ATTRIBUTE perc_negatives REAL
@ATTRIBUTE has_positive REAL
@ATTRIBUTE polarity_value REAL
@ATTRIBUTE has_qtdPunctuation REAL
@ATTRIBUTE has_excl REAL
@ATTRIBUTE polarity_qtdneutral REAL
@ATTRIBUTE neutral_entropy_value REAL
@ATTRIBUTE has_entities REAL
@ATTRIBUTE positive_entropy_value REAL
@ATTRIBUTE has_uppercase REAL
@ATTRIBUTE polarity_qtdnegative REAL
@ATTRIBUTE has_negIntensifier REAL
@ATTRIBUTE polarity_qtdpositive REAL
@ATTRIBUTE has_questionmark REAL
@ATTRIBUTE has_url REAL
@ATTRIBUTE has_negative REAL
@ATTRIBUTE perc_positives REAL
@ATTRIBUTE polarity_url REAL
@ATTRIBUTE negative_entropy_value REAL
@ATTRIBUTE class {"POSITIVE", "NEGATIVE", "NEUTRAL"}

@DATA
1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0.00236852426047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.888888888889, 0, 0, 0, 4, 0, 1, 4, 2, 1, 8, 0, 0, 0.00381608396888, 0, 0, 0, 1, 0, 0, 0, 0.111111111111, 0, 0, POSITIVE
0.958333333333, 0, 0, 0, 2, 0, 1, 2, 13, 1, 23, 0, 0, 0.0041846571985, 1, 0, 0, 1, 0, 0, 0, 0.0416666666667, 0, 0, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 20, 0, 0, 0.00799364555493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.952380952381, 0, 0, 0, 1, 0, 1, 1, 6, 1, 20, 0, 0, 0.0157291708549, 0, 0, 0, 1, 1, 0, 0, 0.047619047619, 0, 0, NEGATIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 19, 0, 0, 0.00929750208962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.714285714286, -3, 0, 0, 0, 0.285714285714, 0, -9, 2, 0, 10, 0, 0, 0.00518172407811, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, NEUTRAL
1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11, 0.000102839441512, 0, 0.00380588432185, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.875, 0, 0, 0, 4, 0, 1, 7, 4, 1, 14, 0, 0, 0.00153047142856, 0, 0, 0, 2, 0, 0, 0, 0.125, 0, 0, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 11, 0, 0, 0.00252796222013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.875, -3, 0, 0, 1, 0.0416666666667, 1, -3, 7, 0, 22, 0, 0, 0.00876573836952, 3, 2, 0, 1, 0, 0, 1, 0.0416666666667, 0, 0.00137097443084, NEGATIVE
0.882352941176, -2, 0, 0, 1, 0.0588235294118, 1, -1, 0, 0, 15, 0, 0, 0.00919618895149, 0, 1, 0, 1, 0, 0, 1, 0.0588235294118, 0, 0.00158727544349, NEGATIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0.00692753002618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.785714285714, -3, 0, 1, 1, 0.0714285714286, 1, -3, 4, 0, 11, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0.142857142857, 0, 0, POSITIVE
0.933333333333, 0, 0, 0, 2, 0, 1, 2, 4, 0, 14, 0, 0, 0.00860977953649, 1, 0, 0, 1, 0, 0, 0, 0.0666666666667, 0, 0, POSITIVE
0.833333333333, -2, 0, 0, 4, 0.0555555555556, 1, 6, 4, 0, 15, 0.000195318180668, 0, 0.0106610185226, 0, 1, 0, 2, 0, 0, 1, 0.111111111111, 0, 0, NEUTRAL
0.823529411765, -2, 0, 0, 3, 0.0588235294118, 1, 2, 2, 1, 14, 0, 0, 0.0111980151856, 0, 1, 0, 2, 0, 0, 1, 0.117647058824, 0, 0.00148256655239, NEUTRAL
0.75, 0, 0, 0, 1, 0, 1, 0, 0, 0, 7, 0.000195318180668, 0, 0.00411595940187, 0, 1, 0, 1, 0, 0, 0, 0.125, 0, 0, NEUTRAL
1.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0.000102839441512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 14, 0, 0, 0.00824464156255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.785714285714, -3, 0, 0, 0, 0.214285714286, 0, -8, 1, 0, 11, 0, 0, 0.0151147980703, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0.000354238389079, NEGATIVE
0.851851851852, -3, 0, 0, 4, 0.037037037037, 1, 5, 1, 1, 23, 0, 0, 0.0029431784969, 1, 1, 0, 3, 0, 0, 1, 0.111111111111, 0, 0.00100134716209, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0.00366005871798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0.0040763202736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000549556569747, NEGATIVE
1.0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14, 0, 0, 0.0052365023012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.913043478261, 0, 0, 0, 1, 0, 1, 2, 6, 0, 21, 0, 0, 0.00123376195144, 0, 0, 0, 2, 0, 0, 0, 0.0869565217391, 0, 0.00228215760691, NEGATIVE
0.875, 0, 0, 1, 3, 0, 1, 3, 3, 0, 15, 0.000195318180668, 0, 0.00665492063579, 0, 1, 0, 1, 0, 0, 0, 0.0625, 0, 0, NEUTRAL
