@RELATION reputation

@ATTRIBUTE perc_neutral REAL
@ATTRIBUTE polarity_maxnegative REAL
@ATTRIBUTE has_posIntensifier REAL
@ATTRIBUTE has_negation REAL
@ATTRIBUTE polarity_maxpositive REAL
@ATTRIBUTE perc_negatives REAL
@ATTRIBUTE has_positive REAL
@ATTRIBUTE polarity_value REAL
@ATTRIBUTE has_qtdPunctuation REAL
@ATTRIBUTE polarity_qtdneutral REAL
@ATTRIBUTE neutral_entropy_value REAL
@ATTRIBUTE has_entities REAL
@ATTRIBUTE positive_entropy_value REAL
@ATTRIBUTE has_uppercase REAL
@ATTRIBUTE polarity_qtdnegative REAL
@ATTRIBUTE has_negIntensifier REAL
@ATTRIBUTE polarity_qtdpositive REAL
@ATTRIBUTE has_questionmark REAL
@ATTRIBUTE has_url REAL
@ATTRIBUTE has_negative REAL
@ATTRIBUTE perc_positives REAL
@ATTRIBUTE has_exclamationmark REAL
@ATTRIBUTE polarity_url REAL
@ATTRIBUTE negative_entropy_value REAL
@ATTRIBUTE class {"POSITIVE", "NEGATIVE", "NEUTRAL"}

@DATA
0.0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 1, 0.00278292017021, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -2, 1, 0, 0.00245036982341, 1, 0.00661334332347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0.00481401510542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0.00603392996708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0.00763554333036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 1, 0.0108245794111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 1, 0.00330287952208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.00305027600518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.00181244246155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 1, 0.00408544579323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0.00789720027722, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0.00565554007944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00101673604176, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, -2, 3, 0, 0, 1, 0.00503366592908, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00277868714729, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.00244424008869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0.013321644647, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0.00590142054585, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.00367817159913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0.00691785625599, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.00395690181067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.00333950604847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0.00334466892051, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0.00270857971754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00173772363511, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.00127746632237, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0.000895913373962, 1, 0.0101689452427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.0, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 0, 0.00275976781724, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.00543250429654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.00739182674031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.006635185398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.00240879828784, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 0.00543662027781, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0.0157291708549, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0.00316932418193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -3, 1, 0, 0, 1, 0.00313622121711, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.00842375283211, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00106271516724, NEGATIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.00357890665287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, -2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0.0105996510082, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
0.0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0.000390636361336, 1, 0.00871378462191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NEUTRAL
0.0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
