@RELATION reputation

@ATTRIBUTE perc_neutral REAL
@ATTRIBUTE polarity_maxnegative REAL
@ATTRIBUTE has_posIntensifier REAL
@ATTRIBUTE has_negation REAL
@ATTRIBUTE sentence_length REAL
@ATTRIBUTE polarity_maxpositive REAL
@ATTRIBUTE perc_negatives REAL
@ATTRIBUTE has_positive REAL
@ATTRIBUTE polarity_value REAL
@ATTRIBUTE has_qtdPunctuation REAL
@ATTRIBUTE has_excl REAL
@ATTRIBUTE polarity_qtdneutral REAL
@ATTRIBUTE neutral_entropy_value REAL
@ATTRIBUTE positive_entropy_value REAL
@ATTRIBUTE has_uppercase REAL
@ATTRIBUTE polarity_qtdnegative REAL
@ATTRIBUTE has_negIntensifier REAL
@ATTRIBUTE polarity_qtdpositive REAL
@ATTRIBUTE has_questionmark REAL
@ATTRIBUTE has_url REAL
@ATTRIBUTE has_negative REAL
@ATTRIBUTE perc_positives REAL
@ATTRIBUTE polarity_url REAL
@ATTRIBUTE negative_entropy_value REAL
@ATTRIBUTE class {"POSITIVE", "NEGATIVE", "NEUTRAL"}

@DATA
1.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0.00208816469172, 0.00236852426047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000913537810862, POSITIVE
0.888888888889, 0, 0, 0, 9, 4, 0, 1, 4, 2, 1, 8, 0.00371324452737, 0.00381608396888, 0, 0, 0, 1, 0, 0, 0, 0.111111111111, 0, 0.00277432456964, POSITIVE
0.958333333333, 0, 0, 0, 24, 2, 0, 1, 2, 13, 1, 23, 0.00333990986433, 0.0041846571985, 1, 0, 0, 1, 0, 0, 0, 0.0416666666667, 0, 0.0038879830052, POSITIVE
1.0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 1, 20, 0.00627742127338, 0.00799364555493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00395442281604, POSITIVE
0.952380952381, 0, 0, 0, 21, 1, 0, 1, 1, 6, 1, 20, 0.0149638337607, 0.0157291708549, 0, 0, 0, 1, 1, 0, 0, 0.047619047619, 0, 0.0157291708549, NEGATIVE
1.0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 0, 19, 0.0078772790243, 0.00929750208962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00919466264811, POSITIVE
0.714285714286, -3, 0, 0, 14, 0, 0.285714285714, 0, -9, 2, 0, 10, 0.00518172407811, 0.00518172407811, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0.00138549657417, NEUTRAL
1.0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 0, 11, 0.00342268531159, 0.00380588432185, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.00342268531159, POSITIVE
0.875, 0, 0, 0, 16, 4, 0, 1, 7, 4, 1, 14, 0.00123379723526, 0.00153047142856, 0, 0, 0, 2, 0, 0, 0, 0.125, 0, 0.00123379723526, POSITIVE
0.866666666667, 0, 0, 0, 15, 3, 0, 1, 4, 0, 0, 13, 0.00493956459848, 0.00474424641781, 0, 0, 0, 2, 0, 0, 0, 0.133333333333, 0, 0.00346087201236, NEUTRAL
1.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0.00160051115571, 0.00402029112705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00402029112705, NEGATIVE
0.882352941176, -2, 0, 0, 17, 1, 0.0588235294118, 1, -1, 0, 0, 15, 0.00919618895149, 0.00919618895149, 0, 1, 0, 1, 0, 0, 1, 0.0588235294118, 0, 0.010783464395, NEGATIVE
1.0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0.00692753002618, 0.00692753002618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00533736444782, POSITIVE
0.952380952381, 0, 0, 0, 21, 3, 0, 1, 3, 6, 0, 20, 0.014391845693, 0.014391845693, 3, 0, 0, 1, 0, 0, 0, 0.047619047619, 0, 0.00238674038847, NEUTRAL
0.933333333333, 0, 0, 0, 15, 2, 0, 1, 2, 4, 0, 14, 0.00623257257339, 0.00860977953649, 1, 0, 0, 1, 0, 0, 0, 0.0666666666667, 0, 0.00232020261324, POSITIVE
0.833333333333, -2, 0, 0, 18, 4, 0.0555555555556, 1, 6, 4, 0, 15, 0.0108563367033, 0.0106610185226, 0, 1, 0, 2, 0, 0, 1, 0.111111111111, 0, 0.00783549528599, NEUTRAL
0.909090909091, 0, 0, 0, 11, 3, 0, 1, 3, 2, 0, 10, 0.00208137855468, 0.00253845638527, 0, 0, 0, 1, 0, 0, 0, 0.0909090909091, 0, 0.000457077830591, POSITIVE
0.75, 0, 0, 0, 8, 1, 0, 1, 0, 0, 0, 7, 0.00431127758254, 0.00411595940187, 0, 1, 0, 1, 0, 0, 0, 0.125, 0, 0.00339296048038, NEUTRAL
1.0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 5, 0, 0.000102839441512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 1, 14, 0, 0, 0, 0, 3, 0, 14, 0.00824464156255, 0.00824464156255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00639631391476, NEUTRAL
1.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0.00524815860372, 0.00572235292426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00395893579915, POSITIVE
0.785714285714, -3, 0, 0, 14, 0, 0.214285714286, 0, -8, 1, 0, 11, 0.0146577202397, 0.0151147980703, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0.0154690364593, NEGATIVE
0.851851851852, -3, 0, 0, 27, 4, 0.037037037037, 1, 5, 1, 1, 23, 0.00384168621748, 0.0029431784969, 1, 1, 0, 3, 0, 0, 1, 0.111111111111, 0, 0.00384168621748, POSITIVE
1.0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, POSITIVE
1.0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0.00310014144588, 0.00366005871798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00355721927647, POSITIVE
1.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0.00462587684335, 0.0040763202736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00462587684335, NEGATIVE
1.0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 1, 14, 0.0049398281079, 0.0052365023012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00350478687303, POSITIVE
0.913043478261, 0, 0, 0, 23, 1, 0, 1, 2, 6, 0, 21, 0, 0.00123376195144, 0, 0, 0, 2, 0, 0, 0, 0.0869565217391, 0, 0.00351591955835, NEGATIVE
